Number of model parameters: 79003758
Test: [80/267]	Time 0.985 (1.060)	Loss 0.5083 (0.8258)
Test: [90/267]	Time 1.020 (1.064)	Loss 0.4136 (0.7918)
Test: [100/267]	Time 0.999 (1.056)	Loss 0.4052 (0.7509)
Test: [110/267]	Time 0.948 (1.051)	Loss 0.5546 (0.7255)
Test: [120/267]	Time 1.361 (1.073)	Loss 0.6113 (0.7166)
Test: [130/267]	Time 1.233 (1.086)	Loss 0.4743 (0.7034)
Test: [140/267]	Time 1.299 (1.101)	Loss 1.1684 (0.7141)
Test: [150/267]	Time 1.307 (1.113)	Loss 0.7541 (0.7274)
Test: [160/267]	Time 1.185 (1.121)	Loss 0.3140 (0.7540)
Test: [170/267]	Time 1.051 (1.124)	Loss 0.4732 (0.7397)
Test: [180/267]	Time 1.183 (1.125)	Loss 0.6735 (0.7351)
Test: [190/267]	Time 0.929 (1.119)	Loss 0.5299 (0.7317)
Test: [200/267]	Time 1.031 (1.117)	Loss 1.1427 (0.7504)
Test: [210/267]	Time 0.991 (1.110)	Loss 0.6710 (0.7505)
Test: [220/267]	Time 1.208 (1.106)	Loss 0.3514 (0.7401)
Test: [230/267]	Time 1.086 (1.104)	Loss 0.5161 (0.7305)
Test: [240/267]	Time 1.337 (1.105)	Loss 0.8282 (0.7290)
Test: [250/267]	Time 1.124 (1.105)	Loss 0.9398 (0.7408)
Test: [260/267]	Time 1.051 (1.104)	Loss 0.4667 (0.7426)
------------------------------------------------------------------------------------------------------
[epoch: 4], [val_loss: 0.738742], [acc: 0.77257], [miou: 0.64181]
best record: [epoch: 4], [val_loss: 0.73874], [acc: 0.77257], [miou: 0.64181]
------------------------------------------------------------------------------------------------------
Epoch: [5][0/374]	Time 3.886 (3.886)	Loss 1.5395 (1.5395)
Epoch: [5][10/374]	Time 0.802 (1.169)	Loss 1.4328 (1.8469)
Epoch: [5][20/374]	Time 0.847 (1.006)	Loss 1.9116 (1.8125)
Epoch: [5][30/374]	Time 0.889 (0.952)	Loss 2.0285 (1.7653)
